symbol	date	error_type	error_code
AEDCAD.EUAM	2020-01-31	low data size	
AEDCZK.COMP	2020-01-31	no data	
AEDCZK.EUAM	2020-01-31	no data	
AEDFF	2020-01-31	no data	
AEDGBP.COMP	2020-01-31	low data size	
AEDGBP.EUAM	2020-01-31	low data size	
AEDHKD.COMP	2020-01-31	no data	
AEDHKD.EUAM	2020-01-31	no data	
AEDHUF.COMP	2020-01-31	no data	
AEDHUF.EUAM	2020-01-31	no data	
AEDINR.COMP	2020-01-31	low data size	
AEDINR.EUAM	2020-01-31	low data size	
AEDISK.COMP	2020-01-31	no data	
AEDISK.MOR2	2020-01-31	no data	
AEDMXN.COMP	2020-01-31	no data	
AEDMXN.EUAM	2020-01-31	no data	
AEDNOK.COMP	2020-01-31	no data	
AEDNOK.EUAM	2020-01-31	no data	
AEDNZD.COMP	2020-01-31	low data size	
AEDNZD.EUAM	2020-01-31	low data size	
AEDPLN.COMP	2020-01-31	no data	
AEDPLN.EUAM	2020-01-31	no data	
AEDSAR.COMP	2020-01-31	no data	
AEDSAR.EUAM	2020-01-31	no data	
AEDSEK.COMP	2020-01-31	no data	
AEDSEK.EUAM	2020-01-31	no data	
AEDSGD.COMP	2020-01-31	no data	
AEDSGD.EUAM	2020-01-31	no data	
AEDTRY.COMP	2020-01-31	response error	503
AEDTRY.EUAM	2020-01-31	response error	503
AEDUSD.COMP	2020-01-31	low data size	
AEDUSD.EUAM	2020-01-31	low data size	
AEDUSD.SAXO	2020-01-31	no data	
AEDZAR.COMP	2020-01-31	low data size	
AEDZAR.EUAM	2020-01-31	low data size	
AEEX	2020-01-31	no data	
AEGOF	2020-01-31	low data size	
AEGY	2020-01-31	low data size	
AELIY	2020-01-31	no data	
AELTF	2020-01-31	low data size	
AEMMF	2020-01-31	low data size	
AEMMY	2020-01-31	no data	
AEOJF	2020-01-31	low data size	
AEOMF	2020-01-31	no data	
AEOXF	2020-01-31	no data	
AEP-B	2020-01-31	response error	503
AEPLF	2020-01-31	low data size	
AESEW	2020-01-31	response error	503
AESTY	2020-01-31	no data	
AEXAF	2020-01-31	low data size	
AEXAY	2020-01-31	no data	
AEXE	2020-01-31	no data	
AEXFF	2020-01-31	low data size	
AEYED	2020-01-31	no data	
AEYYF	2020-01-31	response error	503
AFAP	2020-01-31	low data size	
AFBG	2020-01-31	low data size	
AFBOF	2020-01-31	response error	500
AFCJF	2020-01-31	low data size	
AFCL	2020-01-31	low data size	
AFDVF	2020-01-31	no data	
AFFL	2020-01-31	low data size	
AFFS	2020-01-31	response error	503
AFFT	2020-01-31	response error	503
AFFU	2020-01-31	low data size	
AFFY	2020-01-31	no data	
AFGB	2020-01-31	response error	503
AFGC	2020-01-31	no data	
AFGE	2020-01-31	no data	
AFGH	2020-01-31	no data	
AFGR	2020-01-31	no data	
AFGVF	2020-01-31	low data size	
AFGVY	2020-01-31	no data	
AFHFF	2020-01-31	response error	503
AFI	2020-01-31	no data	
AFIDY	2020-01-31	response error	503
AFIF	2020-01-31	no data	
AFIMF	2020-01-31	low data size	
AFIPA	2020-01-31	low data size	
AFLQF	2020-01-31	no data	
AFNGBP.COMP	2020-01-31	no data	
AFNGBP.EUAM	2020-01-31	no data	
AFNL	2020-01-31	response error	500
AFNUSD.COMP	2020-01-31	no data	
AFNUSD.EUAM	2020-01-31	no data	
AFOM	2020-01-31	no data	
AFOVF	2020-01-31	low data size	
AFRAF	2020-01-31	low data size	
AFRMF	2020-01-31	no data	
AFRS	2020-01-31	low data size	
AFSIA	2020-01-31	response error	503
AFSIB	2020-01-31	response error	503
AFSIC	2020-01-31	response error	503
AFSIM	2020-01-31	response error	503
AFSIN	2020-01-31	response error	503
AFSIP	2020-01-31	response error	503
AFSLF	2020-01-31	low data size	
AFT	2020-01-31	no data	
AFTPF	2020-01-31	no data	
